10:24:07.322 | INFO     | ============================================================
10:24:07.322 | INFO     | INIT | circuit=Parcours 7 segments | start=(25,10) | angle=0°
10:24:10.155 | DEBUG    | FUZZY | pos=(219,22) | angle=51.7° | G=0 D=15 delta=15 | mu_N=0.00 mu_Z=0.50 mu_P=0.06 | da=2.01°
10:24:10.171 | DEBUG    | FUZZY | pos=(221,25) | angle=53.7° | G=0 D=15 delta=15 | mu_N=0.00 mu_Z=0.50 mu_P=0.06 | da=1.66°
10:24:10.187 | DEBUG    | FUZZY | pos=(223,27) | angle=55.3° | G=0 D=15 delta=15 | mu_N=0.00 mu_Z=0.50 mu_P=0.06 | da=1.60°
10:24:10.203 | DEBUG    | FUZZY | pos=(225,30) | angle=56.9° | G=0 D=14 delta=14 | mu_N=0.00 mu_Z=0.53 mu_P=0.05 | da=1.44°
10:24:10.221 | DEBUG    | FUZZY | pos=(226,32) | angle=58.4° | G=0 D=14 delta=14 | mu_N=0.00 mu_Z=0.53 mu_P=0.05 | da=1.41°
10:24:10.237 | DEBUG    | FUZZY | pos=(228,35) | angle=59.8° | G=0 D=14 delta=14 | mu_N=0.00 mu_Z=0.53 mu_P=0.05 | da=1.40°
10:24:10.254 | DEBUG    | FUZZY | pos=(229,37) | angle=61.2° | G=0 D=14 delta=14 | mu_N=0.00 mu_Z=0.53 mu_P=0.05 | da=1.40°
10:24:10.271 | DEBUG    | FUZZY | pos=(231,40) | angle=62.6° | G=0 D=14 delta=14 | mu_N=0.00 mu_Z=0.53 mu_P=0.05 | da=1.40°
10:24:10.287 | DEBUG    | FUZZY | pos=(232,43) | angle=64.0° | G=0 D=14 delta=14 | mu_N=0.00 mu_Z=0.53 mu_P=0.05 | da=1.40°
10:24:10.304 | DEBUG    | FUZZY | pos=(234,45) | angle=65.4° | G=0 D=28 delta=28 | mu_N=0.00 mu_Z=0.07 mu_P=0.11 | da=7.75°
10:24:10.320 | DEBUG    | FUZZY | pos=(235,48) | angle=73.1° | G=0 D=14 delta=14 | mu_N=0.00 mu_Z=0.53 mu_P=0.05 | da=2.67°
10:24:10.348 | DEBUG    | FUZZY | pos=(236,51) | angle=75.8° | G=0 D=14 delta=14 | mu_N=0.00 mu_Z=0.53 mu_P=0.05 | da=1.65°
10:24:10.359 | DEBUG    | FUZZY | pos=(236,54) | angle=77.4° | G=0 D=14 delta=14 | mu_N=0.00 mu_Z=0.53 mu_P=0.05 | da=1.45°
10:24:10.373 | DEBUG    | FUZZY | pos=(237,57) | angle=78.9° | G=0 D=14 delta=14 | mu_N=0.00 mu_Z=0.53 mu_P=0.05 | da=1.41°
